annee,type_bien,nb_ventes,prix_m2_median,prix_m2_q1,prix_m2_q3,prix_m2_moyen,valeur_mediane,surface_mediane,valeur_totale,evolution_prix_m2,evolution_volume
2021,Appartement,13239,3159.55,2338.06,4025.61,3283,133500,45,2.05902e+09,,
2022,Appartement,13578,3412.83,2553.24,4300.69,3535.85,142222,45,2.2368e+09,0.0801616,0.0256062
2023,Appartement,11031,3520.41,2599.57,4463.88,3644.01,144000,44,1.83983e+09,0.0315231,-0.187583
2024,Appartement,9588,3448.02,2555.56,4377.04,3583.38,140662,44,1.57021e+09,-0.0205629,-0.130813
2025,Appartement,10957,3483.33,2623.19,4390.32,3601.99,144400,44,1.82288e+09,0.0102421,0.142783
2021,Maison,11570,2843.19,2045.87,3729.17,2976.44,254000,92,3.33891e+09,,
2022,Maison,10875,3047.96,2117.08,4024.58,3190.45,268000,90,3.3347e+09,0.0720216,-0.0600691
2023,Maison,8570,3130.92,2186.86,4154.69,3295.32,273000,90,2.65584e+09,0.0272187,-0.211954
2024,Maison,7559,3030.22,2169.73,3977.41,3179.74,265000,90,2.25015e+09,-0.0321641,-0.11797
2025,Maison,8496,3056.48,2194.3,3965.97,3195.93,273170,91,2.5852e+09,0.00866854,0.123958
