code_commune,nom_commune,type_bien,nb_ventes_periode,nb_ventes_debut,prix_m2_median_debut,nb_ventes_fin,prix_m2_median_fin,evolution_prix_m2
34172,Montpellier,Appartement,21353,4905,3174.79,3976,3424.83,0.078757
34003,Agde,Appartement,8222,1915,3037.04,1446,3610.56,0.188841
34301,Sète,Appartement,4937,1160,2897.62,883,3497.46,0.20701
34032,Béziers,Appartement,3679,737,1527.71,765,1833.33,0.200055
34344,La Grande-Motte,Appartement,3667,891,4565.22,671,5232,0.146057
34057,Castelnau-le-Lez,Appartement,1436,290,3583.29,291,3854.84,0.0757806
34154,Mauguio,Appartement,1253,291,4211.97,235,4586.9,0.0890141
34108,Frontignan,Appartement,1190,284,2837.52,209,3484.85,0.22813
34192,Palavas-les-Flots,Appartement,1184,292,4800,226,4894.87,0.0197643
34324,Valras-Plage,Appartement,1039,255,3279.41,187,3716,0.13313
34023,Balaruc-les-Bains,Appartement,1016,162,3937.62,208,4172.99,0.059773
34150,Marseillan,Appartement,904,225,3530.3,154,4152.3,0.176188
34145,Lunel,Appartement,836,203,2000,144,2245.66,0.122828
34129,Lattes,Appartement,664,165,4285.71,141,4658.05,0.086878
34116,Grabels,Appartement,463,110,2890.04,95,3181.82,0.10096
34123,Juvignac,Appartement,403,81,3139.03,100,3055.49,-0.0266147
34157,Mèze,Appartement,403,85,2759.26,67,3665.48,0.328428
34079,Clermont-l'Hérault,Appartement,298,83,1738.77,60,2021.02,0.162327
34270,Saint-Jean-de-Védas,Appartement,295,56,3928.73,65,4045.45,0.0297093
34199,Pézenas,Appartement,261,49,1720,59,2096.77,0.219055
34126,Lamalou-les-Bains,Appartement,207,20,,41,2083.33,
34090,Le Crès,Appartement,192,36,3899.64,47,4157.89,0.0662245
34022,Baillargues,Appartement,163,26,,36,3668.96,
34332,Vias,Appartement,163,33,3511.68,19,,
34120,Jacou,Appartement,159,30,3754.22,20,,
34299,Sérignan,Appartement,153,31,2957.75,25,,
34202,Pignan,Appartement,150,43,3170.39,24,,
34198,Pérols,Appartement,142,30,4128.3,30,4254.63,0.0306002
34244,Saint-Brès,Appartement,136,17,,65,2773.77,
34142,Lodève,Appartement,134,25,,24,,
34151,Marsillargues,Appartement,134,41,2432.43,29,,
34337,Villeneuve-lès-Maguelone,Appartement,124,30,3168.56,29,,
34213,Poussan,Appartement,124,24,,21,,
34259,Saint-Georges-d'Orques,Appartement,122,16,,18,,
34095,Fabrègues,Appartement,121,27,,28,,
34111,Ganges,Appartement,114,20,,27,,
34113,Gigean,Appartement,114,19,,24,,
34255,Saint-Gély-du-Fesc,Appartement,102,18,,16,,
34217,Prades-le-Lez,Appartement,98,25,,21,,
34336,Villeneuve-lès-Béziers,Appartement,98,25,,17,,
34327,Vendargues,Appartement,91,22,,15,,
34209,Portiragnes,Appartement,90,19,,20,,
34240,Saint-Aunès,Appartement,75,8,,22,,
34058,Castries,Appartement,68,9,,11,,
34239,Saint-André-de-Sangonis,Appartement,65,14,,9,,
34077,Clapiers,Appartement,63,18,,13,,
34088,Cournonterral,Appartement,58,10,,11,,
34162,Montagnac,Appartement,58,8,,10,,
34028,Bédarieux,Appartement,58,10,,9,,
34169,Montferrier-sur-Lez,Appartement,53,6,,16,,
34114,Gignac,Appartement,51,8,,9,,
34037,Boujan-sur-Libron,Appartement,48,10,,10,,
34159,Mireval,Appartement,44,8,,15,,
34050,Candillargues,Appartement,43,14,,2,,
34134,Lavérune,Appartement,42,7,,5,,
34165,Montbazin,Appartement,42,10,,4,,
34329,Vendres,Appartement,38,7,,7,,
34039,Bouzigues,Appartement,38,8,,8,,
34031,Bessan,Appartement,33,12,,5,,
34247,Saint-Clément-de-Rivière,Appartement,33,8,,9,,
34148,Maraussan,Appartement,29,6,,7,,
34146,Lunel-Viel,Appartement,29,7,,9,,
34087,Cournonsec,Appartement,29,12,,4,,
34101,Florensac,Appartement,28,8,,2,,
34024,Balaruc-le-Vieux,Appartement,25,4,,3,,
34309,Teyran,Appartement,23,7,,3,,
34307,Sussargues,Appartement,22,5,,7,,
34176,Mudaison,Appartement,22,9,,3,,
34276,Saint-Mathieu-de-Tréviers,Appartement,21,6,,5,,
34033,Boisseron,Appartement,21,3,,5,,
34227,Restinclières,Appartement,21,4,,6,,
34298,Sauvian,Appartement,20,4,,7,,
34127,Lansargues,Appartement,20,4,,5,,
34143,Loupian,Appartement,19,3,,5,,
34183,Nissan-lez-Enserune,Appartement,18,1,,7,,
34010,Aniane,Appartement,18,4,,5,,
34163,Montarnaud,Appartement,17,5,,2,,
34081,Colombiers,Appartement,17,5,,2,,
34249,Saint-Drézéry,Appartement,16,4,,4,,
34194,Paulhan,Appartement,16,2,,1,,
34135,Lespignan,Appartement,16,5,,3,,
34300,Servian,Appartement,15,6,,2,,
34166,Montblanc,Appartement,14,3,,1,,
34321,Valergues,Appartement,14,4,,,,
34069,Cazouls-lès-Béziers,Appartement,14,3,,3,,
34210,Le Pouget,Appartement,14,6,,,,
34225,Puisserguier,Appartement,14,2,,1,,
34197,Péret,Appartement,14,5,,7,,
34025,Bassan,Appartement,12,2,,6,,
34128,Laroque,Appartement,12,4,,1,,
34153,Les Matelles,Appartement,12,2,,3,,
34282,Saint-Paul-et-Valmalle,Appartement,11,2,,1,,
34180,Nébian,Appartement,11,3,,3,,
34119,Hérépian,Appartement,11,3,,1,,
34056,Castelnau-de-Guers,Appartement,10,4,,1,,
34246,Entre-Vignes,Appartement,9,4,,1,,
34051,Canet,Appartement,9,1,,,,
34237,Roujan,Appartement,9,2,,1,,
34052,Capestang,Appartement,9,3,,,,
34207,Pomérols,Appartement,9,1,,3,,
34224,Puissalicon,Appartement,9,1,,1,,
34073,Cers,Appartement,9,1,,5,,
34341,Villeveyrac,Appartement,8,2,,2,,
34179,Murviel-lès-Montpellier,Appartement,8,1,,2,,
