code_commune,nom_commune,code_postal_principal,ville_suivie
34005,Agonès,34190,false
34053,Carlencas-et-Levas,34600,false
34060,Causse-de-la-Selle,34380,false
34062,Caussiniojouls,34600,false
34074,Cessenon-sur-Orb,34460,false
34077,Clapiers,34830,false
34084,Corneilhan,34490,false
34118,Guzargues,34820,false
34138,Lieuran-Cabrières,34800,false
34158,Minerve,34210,false
34161,Montady,34310,false
34182,Nézignan-l'Évêque,34120,false
34225,Puisserguier,34620,false
34229,Riols,34220,false
34239,Saint-André-de-Sangonis,34725,false
34245,Saint-Chinian,34360,false
34257,Saint-Geniès-de-Varensal,34610,false
34287,Saint-Saturnin-de-Lucian,34725,false
34305,Le Soulié,34330,false
34311,Tourbes,34120,false
34019,Avène,34260,false
34032,Béziers,34500,true
34069,Cazouls-lès-Béziers,34370,false
34090,Le Crès,34920,false
34100,Ferrières-Poussarou,34360,false
34109,Gabian,34320,false
34115,Gorniès,34190,false
34119,Hérépian,34600,false
34143,Loupian,34140,false
34154,Mauguio,34130,false
34160,Mons,34390,false
34175,Mourèze,34800,false
34179,Murviel-lès-Montpellier,34570,false
34248,Sainte-Croix-de-Quintillargues,34270,false
34258,Saint-Geniès-de-Fontedit,34480,false
34288,Saint-Sériès,34400,false
34300,Servian,34290,false
34307,Sussargues,34160,false
34320,Vailhauquès,34570,false
34326,Vélieux,34220,false
34336,Villeneuve-lès-Béziers,34420,false
34338,Villeneuvette,34800,false
34339,Villespassans,34360,false
34021,Babeau-Bouldoux,34360,false
34052,Capestang,34310,false
34059,La Caunette,34210,false
34087,Cournonsec,34660,false
34102,Fontanès,34270,false
34123,Juvignac,34990,false
34127,Lansargues,34130,false
34181,Neffiès,34320,false
34185,Notre-Dame-de-Londres,34380,false
34193,Pardailhan,34360,false
34198,Pérols,34470,false
34203,Pinet,34850,false
34209,Portiragnes,34420,false
34213,Poussan,34560,false
34260,Saint-Gervais-sur-Mare,34610,false
34290,Saint-Vincent-de-Barbeyrargues,34730,false
34309,Teyran,34820,false
34314,Le Triadou,34270,false
34328,Vendémian,34230,false
34004,Agel,34210,false
34023,Balaruc-les-Bains,34540,false
34031,Bessan,34550,false
34039,Bouzigues,34140,false
34041,Brignac,34800,false
34070,Cébazan,34360,false
34097,Félines-Minervois,34210,false
34101,Florensac,34510,false
34106,Fozières,34700,false
34121,Joncels,34650,false
34126,Lamalou-les-Bains,34240,false
34130,Laurens,34480,false
34133,Lavalette,34700,false
34159,Mireval,34110,false
34188,Olmet-et-Villecun,34700,false
34207,Pomérols,34810,false
34210,Le Pouget,34230,false
34230,Les Rives,34520,false
34241,Saint-Bauzille-de-la-Sylve,34230,false
34247,Saint-Clément-de-Rivière,34980,false
34255,Saint-Gély-du-Fesc,34980,false
34295,Saussan,34570,false
34298,Sauvian,34410,false
