type_local,annee,n_candidats,q1_log,q3_log,borne_basse_m2,borne_haute_m2
Appartement,2021,13802,7.71222,8.29155,937.521,9514.11
Appartement,2022,14196,7.79825,8.35859,1051.26,9888.18
Appartement,2023,11540,7.806,8.39773,1010.71,10778.6
Appartement,2024,10069,7.79136,8.37836,1003.1,10497.1
Appartement,2025,11547,7.82405,8.38235,1082.03,10095.1
Maison,2021,12115,7.567,8.21366,732.902,9736.61
Maison,2022,11302,7.6009,8.29102,710.326,11228.4
Maison,2023,8961,7.62989,8.32229,728.717,11624.8
Maison,2024,7918,7.61966,8.28003,756.796,10621.1
Maison,2025,8904,7.63599,8.27767,791.143,10303
