mesure,contexte,valeur_dax,valeur_sql,ecart_absolu,ecart_relatif,identique
Nb ventes,annee=2025,19453,19453,0,0,True
Part des maisons %,annee=2025,0.436744975068,0.436744975068,2.22044604925e-16,5.08407921328e-16,True
Prix m² 1er quartile,annee=2025,2427.84090909,2427.84090909,9.09494701773e-13,3.74610502017e-16,True
Prix m² 3e quartile,annee=2025,4220.77922078,4220.77922078,-9.09494701773e-13,-2.15480283189e-16,True
Prix m² moyen,annee=2025,3424.64282546,3424.64282546,5.91171556152e-12,1.72622835805e-15,True
Prix m² médian,annee=2025,3301.07526882,3301.07526882,-3.63797880709e-12,-1.10205872658e-15,True
Surface médiane,annee=2025,65,65,0,0,True
Valeur médiane,annee=2025,183737,183737,0,0,True
Volume d'affaires,annee=2025,4408077325.67,4408077325.67,-1.90734863281e-06,-4.32694005095e-16,True
Évolution depuis 2021 %,annee=2025,0.0979186038195,0.0979186038195,1.11022302463e-16,1.13382235992e-15,True
Évolution prix m² %,annee=2025,0.0106995884774,0.0106995884774,2.01227923213e-16,1.88070712849e-14,True
Évolution volume %,annee=2025,0.134484166326,0.134484166326,0,0,True
Nb ventes,"annee=2025, type_bien=Appartement",10957,10957,0,0,True
Part des maisons %,"annee=2025, type_bien=Appartement",0.436744975068,0.436744975068,2.22044604925e-16,5.08407921328e-16,True
Prix m² 1er quartile,"annee=2025, type_bien=Appartement",2623.1884058,2623.1884058,-9.09494701773e-13,-3.46713449847e-16,True
Prix m² 3e quartile,"annee=2025, type_bien=Appartement",4390.32258065,4390.32258065,-9.09494701773e-13,-2.07158969544e-16,True
Prix m² moyen,"annee=2025, type_bien=Appartement",3601.98664584,3601.98664584,1.36424205266e-11,3.78747115633e-15,True
Prix m² médian,"annee=2025, type_bien=Appartement",3483.33333333,3483.33333333,-3.18323145621e-12,-9.13846351064e-16,True
Surface médiane,"annee=2025, type_bien=Appartement",44,44,0,0,True
Valeur médiane,"annee=2025, type_bien=Appartement",144400,144400,0,0,True
Volume d'affaires,"annee=2025, type_bien=Appartement",1822880561.18,1822880561.18,0,0,True
Évolution depuis 2021 %,"annee=2025, type_bien=Appartement",0.102477477477,0.102477477477,5.96744875736e-16,5.82318076542e-15,True
Évolution prix m² %,"annee=2025, type_bien=Appartement",0.010242057865,0.010242057865,1.00613961607e-16,9.82360800268e-15,True
Évolution volume %,"annee=2025, type_bien=Appartement",0.142782644973,0.142782644973,2.22044604925e-16,1.5551232082e-15,True
Nb ventes,"annee=2025, type_bien=Appartement, commune=Béziers",765,765,0,0,True
Part des maisons %,"annee=2025, type_bien=Appartement, commune=Béziers",0.393338620143,0.393338620143,2.22044604925e-16,5.64512594376e-16,True
Prix m² 1er quartile,"annee=2025, type_bien=Appartement, commune=Béziers",1445.67307692,1445.67307692,3.18323145621e-12,2.20190270333e-15,True
Prix m² 3e quartile,"annee=2025, type_bien=Appartement, commune=Béziers",2250,2250,0,0,True
Prix m² moyen,"annee=2025, type_bien=Appartement, commune=Béziers",1939.7477888,1939.7477888,4.09272615798e-12,2.10992696144e-15,True
Prix m² médian,"annee=2025, type_bien=Appartement, commune=Béziers",1833.33333333,1833.33333333,-3.18323145621e-12,-1.73630806702e-15,True
Prix m² médian publiable,"annee=2025, type_bien=Appartement, commune=Béziers",1833.33333333,1833.33333333,-3.18323145621e-12,-1.73630806702e-15,True
Rang prix commune,"annee=2025, type_bien=Appartement, commune=Béziers",25,25,0,0,True
Surface médiane,"annee=2025, type_bien=Appartement, commune=Béziers",55,55,0,0,True
Valeur médiane,"annee=2025, type_bien=Appartement, commune=Béziers",100000,100000,0,0,True
Volume d'affaires,"annee=2025, type_bien=Appartement, commune=Béziers",84426253.83,84426253.83,0,0,True
Écart à l'Hérault %,"annee=2025, type_bien=Appartement, commune=Béziers",-0.473684210526,-0.473684210526,-1.66533453694e-16,3.51570624465e-16,True
Évolution depuis 2021 %,"annee=2025, type_bien=Appartement, commune=Béziers",0.200054547934,0.200054547934,0,0,True
Évolution prix m² %,"annee=2025, type_bien=Appartement, commune=Béziers",0.0377358490566,0.0377358490566,0,0,True
Nb ventes,"annee=2025, type_bien=Appartement, commune=Montpellier",3976,3976,0,0,True
Part des maisons %,"annee=2025, type_bien=Appartement, commune=Montpellier",0.102685624013,0.102685624013,-1.94289029309e-16,-1.89207623927e-15,True
Prix m² 1er quartile,"annee=2025, type_bien=Appartement, commune=Montpellier",2756.31493506,2756.31493506,5.00222085975e-12,1.81482195525e-15,True
Prix m² 3e quartile,"annee=2025, type_bien=Appartement, commune=Montpellier",4115.46408137,4115.46408137,-1.81898940355e-12,-4.41988890579e-16,True
Prix m² moyen,"annee=2025, type_bien=Appartement, commune=Montpellier",3456.52058204,3456.52058204,1.36424205266e-12,3.94686512139e-16,True
Prix m² médian,"annee=2025, type_bien=Appartement, commune=Montpellier",3424.82876712,3424.82876712,2.72848410532e-12,7.96677524877e-16,True
Prix m² médian publiable,"annee=2025, type_bien=Appartement, commune=Montpellier",3424.82876712,3424.82876712,2.72848410532e-12,7.96677524877e-16,True
Rang prix commune,"annee=2025, type_bien=Appartement, commune=Montpellier",17,17,0,0,True
Surface médiane,"annee=2025, type_bien=Appartement, commune=Montpellier",50,50,0,0,True
Valeur médiane,"annee=2025, type_bien=Appartement, commune=Montpellier",157501,157501,0,0,True
Volume d'affaires,"annee=2025, type_bien=Appartement, commune=Montpellier",716063781.65,716063781.65,0,0,True
Écart à l'Hérault %,"annee=2025, type_bien=Appartement, commune=Montpellier",-0.0167955692469,-0.0167955692469,-1.00613961607e-16,5.99050619408e-15,True
Évolution depuis 2021 %,"annee=2025, type_bien=Appartement, commune=Montpellier",0.0787570104463,0.0787570104463,-9.71445146547e-17,-1.23347133295e-15,True
Évolution prix m² %,"annee=2025, type_bien=Appartement, commune=Montpellier",0.027448630137,0.027448630137,0,0,True
