perimetre,annee,type_bien,nb_ventes,prix_m2_median,ic95_bas,ic95_haut
Hérault,2021,Appartement,13239,3159.55,3130.43,3187.5
Hérault,2021,Maison,11570,2843.19,2818.97,2868.4
Hérault,2022,Appartement,13578,3412.83,3380.77,3443.38
Hérault,2022,Maison,10875,3047.96,3008.84,3084.42
Hérault,2023,Appartement,11031,3520.41,3480.77,3547.7
Hérault,2023,Maison,8570,3130.92,3099.25,3166.67
Hérault,2024,Appartement,9588,3448.02,3419.64,3484.85
Hérault,2024,Maison,7559,3030.22,2992.69,3064.84
Hérault,2025,Appartement,10957,3483.33,3448,3512.2
Hérault,2025,Maison,8496,3056.48,3019.83,3090.91
Montpellier,2021,Appartement,4905,3174.79,3134.32,3214.29
Montpellier,2021,Maison,584,3667.4,3580.75,3796.67
Montpellier,2022,Appartement,5004,3403.93,3362.07,3441.86
Montpellier,2022,Maison,547,4007.41,3927.71,4194.21
Montpellier,2023,Appartement,4012,3462.96,3421.1,3505.18
Montpellier,2023,Maison,447,4088.46,4018.18,4267.46
Montpellier,2024,Appartement,3456,3333.33,3292.91,3381.26
Montpellier,2024,Maison,396,4030.41,3873.68,4155.11
Montpellier,2025,Appartement,3976,3424.83,3390.89,3462.5
Montpellier,2025,Maison,455,3809.13,3704.82,3934.32
Béziers,2021,Appartement,737,1527.71,1463.41,1581.4
Béziers,2021,Maison,601,2024.69,1969.7,2087.91
Béziers,2022,Appartement,805,1692.31,1632.65,1734.69
Béziers,2022,Maison,634,2245.14,2176.27,2295.55
Béziers,2023,Appartement,707,1702.13,1642.59,1780.39
Béziers,2023,Maison,447,2319.55,2232.39,2421.95
Béziers,2024,Appartement,665,1766.67,1701.92,1842.11
Béziers,2024,Maison,444,2262.67,2184.7,2345.69
Béziers,2025,Appartement,765,1833.33,1768.18,1895.16
Béziers,2025,Maison,496,2267.43,2205.88,2318.6
Sète,2021,Appartement,1160,2897.62,2818.18,2976.74
Sète,2021,Maison,190,4023.5,3799.63,4261
Sète,2022,Appartement,1139,3208.33,3125,3293.75
Sète,2022,Maison,151,4194.92,4047.62,4500
Sète,2023,Appartement,939,3374.12,3306.45,3465.12
Sète,2023,Maison,131,4950.62,4468.1,5407.6
Sète,2024,Appartement,816,3412.45,3296.34,3493.67
Sète,2024,Maison,103,4363.01,3872.22,4700.46
Sète,2025,Appartement,883,3497.46,3365.59,3617.22
Sète,2025,Maison,134,4328.96,4024.93,4826.77
