code_commune,nom_commune,ville_suivie,annee,type_bien,nb_ventes,prix_m2_median
34001,Abeilhan,False,2021,Appartement,1,
34001,Abeilhan,False,2024,Appartement,1,
34001,Abeilhan,False,2025,Appartement,2,
34001,Abeilhan,False,2021,Maison,28,
34001,Abeilhan,False,2022,Maison,34,2501.46
34001,Abeilhan,False,2023,Maison,21,
34001,Abeilhan,False,2024,Maison,13,
34001,Abeilhan,False,2025,Maison,20,
34002,Adissan,False,2021,Appartement,1,
34002,Adissan,False,2022,Appartement,1,
34002,Adissan,False,2021,Maison,22,
34002,Adissan,False,2022,Maison,29,
34002,Adissan,False,2023,Maison,8,
34002,Adissan,False,2024,Maison,11,
34002,Adissan,False,2025,Maison,19,
34003,Agde,False,2021,Appartement,1915,3037.04
34003,Agde,False,2022,Appartement,1993,3404.26
34003,Agde,False,2023,Appartement,1539,3612.9
34003,Agde,False,2024,Appartement,1329,3650
34003,Agde,False,2025,Appartement,1446,3610.56
34003,Agde,False,2021,Maison,540,3440.95
34003,Agde,False,2022,Maison,525,3750.83
34003,Agde,False,2023,Maison,375,4012.31
34003,Agde,False,2024,Maison,347,3809.52
34003,Agde,False,2025,Maison,366,4149.94
34004,Agel,False,2021,Maison,2,
34004,Agel,False,2022,Maison,3,
34004,Agel,False,2023,Maison,4,
34004,Agel,False,2024,Maison,2,
34004,Agel,False,2025,Maison,2,
34005,Agonès,False,2022,Maison,1,
34005,Agonès,False,2024,Maison,5,
34005,Agonès,False,2025,Maison,1,
34006,Aigne,False,2021,Maison,6,
34006,Aigne,False,2022,Maison,5,
34006,Aigne,False,2023,Maison,3,
34006,Aigne,False,2024,Maison,4,
34006,Aigne,False,2025,Maison,2,
34007,Aigues-Vives,False,2021,Maison,6,
34007,Aigues-Vives,False,2022,Maison,7,
34007,Aigues-Vives,False,2023,Maison,6,
34007,Aigues-Vives,False,2024,Maison,8,
34007,Aigues-Vives,False,2025,Maison,8,
34008,Les Aires,False,2021,Maison,13,
34008,Les Aires,False,2022,Maison,2,
34008,Les Aires,False,2023,Maison,6,
34008,Les Aires,False,2024,Maison,5,
34008,Les Aires,False,2025,Maison,5,
34009,Alignan-du-Vent,False,2021,Appartement,2,
34009,Alignan-du-Vent,False,2022,Appartement,3,
34009,Alignan-du-Vent,False,2023,Appartement,2,
34009,Alignan-du-Vent,False,2025,Appartement,1,
34009,Alignan-du-Vent,False,2021,Maison,38,2479.44
34009,Alignan-du-Vent,False,2022,Maison,37,1809.52
34009,Alignan-du-Vent,False,2023,Maison,25,
34009,Alignan-du-Vent,False,2024,Maison,18,
34009,Alignan-du-Vent,False,2025,Maison,20,
34010,Aniane,False,2021,Appartement,4,
34010,Aniane,False,2022,Appartement,3,
34010,Aniane,False,2023,Appartement,3,
34010,Aniane,False,2024,Appartement,3,
34010,Aniane,False,2025,Appartement,5,
34010,Aniane,False,2021,Maison,39,2775
34010,Aniane,False,2022,Maison,31,3246.48
34010,Aniane,False,2023,Maison,23,
34010,Aniane,False,2024,Maison,26,
34010,Aniane,False,2025,Maison,25,
34011,Arboras,False,2021,Maison,2,
34011,Arboras,False,2023,Maison,3,
34011,Arboras,False,2024,Maison,2,
34012,Argelliers,False,2021,Maison,17,
34012,Argelliers,False,2022,Maison,16,
34012,Argelliers,False,2023,Maison,3,
34012,Argelliers,False,2024,Maison,8,
34012,Argelliers,False,2025,Maison,9,
34013,Aspiran,False,2021,Appartement,1,
34013,Aspiran,False,2022,Appartement,1,
34013,Aspiran,False,2023,Appartement,3,
34013,Aspiran,False,2025,Appartement,1,
34013,Aspiran,False,2021,Maison,34,2136.42
34013,Aspiran,False,2022,Maison,27,
34013,Aspiran,False,2023,Maison,23,
