annee_mois,type_bien,nb_ventes,prix_m2_median
2021-01,Appartement,885,3029.85
2021-02,Appartement,777,3026.67
2021-03,Appartement,967,3069.13
2021-04,Appartement,1064,3126.4
2021-05,Appartement,1118,3155.41
2021-06,Appartement,1375,3100
2021-07,Appartement,1357,3177.03
2021-08,Appartement,975,3203.75
2021-09,Appartement,1289,3114.75
2021-10,Appartement,1125,3272.08
2021-11,Appartement,973,3267.33
2021-12,Appartement,1334,3280.85
2022-01,Appartement,982,3316.96
2022-02,Appartement,1085,3227.27
2022-03,Appartement,1203,3325
2022-04,Appartement,1169,3363.64
2022-05,Appartement,1165,3409.09
2022-06,Appartement,1353,3409.09
2022-07,Appartement,1220,3437.5
2022-08,Appartement,1026,3467.7
2022-09,Appartement,1238,3509.93
2022-10,Appartement,1004,3507.96
2022-11,Appartement,914,3486.35
2022-12,Appartement,1219,3523.19
2023-01,Appartement,926,3501.56
2023-02,Appartement,960,3521.43
2023-03,Appartement,996,3473.98
2023-04,Appartement,937,3616.13
2023-05,Appartement,938,3586.55
2023-06,Appartement,1139,3513.51
2023-07,Appartement,964,3548.97
2023-08,Appartement,760,3603.29
2023-09,Appartement,953,3478.26
2023-10,Appartement,828,3400.27
2023-11,Appartement,702,3416.67
2023-12,Appartement,928,3437.13
2024-01,Appartement,687,3313.96
2024-02,Appartement,646,3428.65
2024-03,Appartement,668,3479.13
2024-04,Appartement,759,3466.67
2024-05,Appartement,754,3490.31
2024-06,Appartement,904,3571.43
2024-07,Appartement,968,3409.09
2024-08,Appartement,721,3478.59
2024-09,Appartement,911,3522.73
2024-10,Appartement,863,3324.29
2024-11,Appartement,693,3395.59
2024-12,Appartement,1014,3477.94
2025-01,Appartement,748,3458.02
2025-02,Appartement,795,3489.13
2025-03,Appartement,1179,3484.13
2025-04,Appartement,654,3461.54
2025-05,Appartement,807,3333.33
2025-06,Appartement,1056,3519.49
2025-07,Appartement,1084,3544.84
2025-08,Appartement,783,3559.63
2025-09,Appartement,1008,3508.66
2025-10,Appartement,965,3484.22
2025-11,Appartement,764,3456.68
2025-12,Appartement,1114,3471.99
2021-01,Maison,804,2773
2021-02,Maison,822,2770.51
2021-03,Maison,834,2662.24
2021-04,Maison,843,2758.15
2021-05,Maison,906,2812.65
2021-06,Maison,1168,2810.79
2021-07,Maison,1269,2874.62
2021-08,Maison,1040,2925.91
2021-09,Maison,999,2910.53
2021-10,Maison,1011,2966.67
2021-11,Maison,834,2839.86
2021-12,Maison,1040,2901.18
2022-01,Maison,822,3012.86
2022-02,Maison,811,2857.14
2022-03,Maison,910,3003.49
2022-04,Maison,880,2853.56
2022-05,Maison,843,2988.76
2022-06,Maison,1080,3014.86
2022-07,Maison,1132,3086.28
2022-08,Maison,833,3173.42
2022-09,Maison,1011,3150
2022-10,Maison,856,3175.78
2022-11,Maison,755,3085.11
2022-12,Maison,942,3145.3
2023-01,Maison,715,3197.73
2023-02,Maison,723,3130.84
2023-03,Maison,771,3062.5
2023-04,Maison,765,3128.57
2023-05,Maison,713,3077.41
2023-06,Maison,884,3151.97
2023-07,Maison,848,3242.48
2023-08,Maison,597,3204.75
2023-09,Maison,679,3074.32
2023-10,Maison,656,3071.79
2023-11,Maison,555,2938.28
2023-12,Maison,664,3200.43
2024-01,Maison,492,3000
2024-02,Maison,540,2863.82
2024-03,Maison,493,2951.07
2024-04,Maison,574,3139.22
2024-05,Maison,520,2878.59
2024-06,Maison,708,3120.68
2024-07,Maison,819,3142.52
2024-08,Maison,642,3075.51
2024-09,Maison,664,3017.7
2024-10,Maison,735,3022.86
2024-11,Maison,557,2946.47
2024-12,Maison,815,3083.33
2025-01,Maison,553,2963.98
2025-02,Maison,566,2957.08
2025-03,Maison,862,2937.83
2025-04,Maison,521,2926.33
2025-05,Maison,607,3053.65
2025-06,Maison,794,3082.36
2025-07,Maison,892,3207.11
2025-08,Maison,663,3059.06
2025-09,Maison,758,3101.95
2025-10,Maison,830,3187.86
2025-11,Maison,636,3085.42
2025-12,Maison,814,2992.05
