mesure,contexte,sql,valeur_sql
Nb ventes,aucun filtre,COUNT(*),105463
Volume d'affaires,aucun filtre,SUM(valeur_fonciere),2.36935e+10
Prix m² médian,aucun filtre,MEDIAN(prix_m2),3223.68
Prix m² moyen,aucun filtre,AVG(prix_m2),3357.18
Prix m² 1er quartile,aucun filtre,"QUANTILE_CONT(prix_m2, 0.25)",2338.71
Prix m² 3e quartile,aucun filtre,"QUANTILE_CONT(prix_m2, 0.75)",4159.89
Valeur médiane,aucun filtre,MEDIAN(valeur_fonciere),180000
Surface médiane,aucun filtre,MEDIAN(surface_bati),65
Part des maisons %,aucun filtre,"AVG(CASE WHEN type_bien = 'Maison' THEN 1.0 ELSE 0.0 END), filtre type retiré",0.446318
Nb ventes,annee=2025,COUNT(*),19453
Volume d'affaires,annee=2025,SUM(valeur_fonciere),4.40808e+09
Prix m² médian,annee=2025,MEDIAN(prix_m2),3301.08
Prix m² moyen,annee=2025,AVG(prix_m2),3424.64
Prix m² 1er quartile,annee=2025,"QUANTILE_CONT(prix_m2, 0.25)",2427.84
Prix m² 3e quartile,annee=2025,"QUANTILE_CONT(prix_m2, 0.75)",4220.78
Valeur médiane,annee=2025,MEDIAN(valeur_fonciere),183737
Surface médiane,annee=2025,MEDIAN(surface_bati),65
Évolution prix m² %,annee=2025,MEDIAN(prix_m2) / MEDIAN(prix_m2) (N-1) - 1,0.0106996
Évolution volume %,annee=2025,COUNT(*) / COUNT(*) (N-1) - 1,0.134484
Évolution depuis 2021 %,annee=2025,MEDIAN(prix_m2) / MEDIAN(prix_m2) (2021) - 1,0.0979186
Part des maisons %,annee=2025,"AVG(CASE WHEN type_bien = 'Maison' THEN 1.0 ELSE 0.0 END), filtre type retiré",0.436745
Nb ventes,"annee=2025, type_bien=Appartement",COUNT(*),10957
Volume d'affaires,"annee=2025, type_bien=Appartement",SUM(valeur_fonciere),1.82288e+09
Prix m² médian,"annee=2025, type_bien=Appartement",MEDIAN(prix_m2),3483.33
Prix m² moyen,"annee=2025, type_bien=Appartement",AVG(prix_m2),3601.99
Prix m² 1er quartile,"annee=2025, type_bien=Appartement","QUANTILE_CONT(prix_m2, 0.25)",2623.19
Prix m² 3e quartile,"annee=2025, type_bien=Appartement","QUANTILE_CONT(prix_m2, 0.75)",4390.32
Valeur médiane,"annee=2025, type_bien=Appartement",MEDIAN(valeur_fonciere),144400
Surface médiane,"annee=2025, type_bien=Appartement",MEDIAN(surface_bati),44
Évolution prix m² %,"annee=2025, type_bien=Appartement",MEDIAN(prix_m2) / MEDIAN(prix_m2) (N-1) - 1,0.0102421
Évolution volume %,"annee=2025, type_bien=Appartement",COUNT(*) / COUNT(*) (N-1) - 1,0.142783
Évolution depuis 2021 %,"annee=2025, type_bien=Appartement",MEDIAN(prix_m2) / MEDIAN(prix_m2) (2021) - 1,0.102477
Part des maisons %,"annee=2025, type_bien=Appartement","AVG(CASE WHEN type_bien = 'Maison' THEN 1.0 ELSE 0.0 END), filtre type retiré",0.436745
Nb ventes,"annee=2025, type_bien=Maison",COUNT(*),8496
Volume d'affaires,"annee=2025, type_bien=Maison",SUM(valeur_fonciere),2.5852e+09
Prix m² médian,"annee=2025, type_bien=Maison",MEDIAN(prix_m2),3056.48
Prix m² moyen,"annee=2025, type_bien=Maison",AVG(prix_m2),3195.93
Prix m² 1er quartile,"annee=2025, type_bien=Maison","QUANTILE_CONT(prix_m2, 0.25)",2194.3
Prix m² 3e quartile,"annee=2025, type_bien=Maison","QUANTILE_CONT(prix_m2, 0.75)",3965.97
Valeur médiane,"annee=2025, type_bien=Maison",MEDIAN(valeur_fonciere),273170
Surface médiane,"annee=2025, type_bien=Maison",MEDIAN(surface_bati),91
Évolution prix m² %,"annee=2025, type_bien=Maison",MEDIAN(prix_m2) / MEDIAN(prix_m2) (N-1) - 1,0.00866854
Évolution volume %,"annee=2025, type_bien=Maison",COUNT(*) / COUNT(*) (N-1) - 1,0.123958
Évolution depuis 2021 %,"annee=2025, type_bien=Maison",MEDIAN(prix_m2) / MEDIAN(prix_m2) (2021) - 1,0.0750202
Part des maisons %,"annee=2025, type_bien=Maison","AVG(CASE WHEN type_bien = 'Maison' THEN 1.0 ELSE 0.0 END), filtre type retiré",0.436745
Nb ventes,"annee=2025, type_bien=Appartement, commune=Montpellier",COUNT(*),3976
Volume d'affaires,"annee=2025, type_bien=Appartement, commune=Montpellier",SUM(valeur_fonciere),7.16064e+08
Prix m² médian,"annee=2025, type_bien=Appartement, commune=Montpellier",MEDIAN(prix_m2),3424.83
Prix m² moyen,"annee=2025, type_bien=Appartement, commune=Montpellier",AVG(prix_m2),3456.52
Prix m² 1er quartile,"annee=2025, type_bien=Appartement, commune=Montpellier","QUANTILE_CONT(prix_m2, 0.25)",2756.31
Prix m² 3e quartile,"annee=2025, type_bien=Appartement, commune=Montpellier","QUANTILE_CONT(prix_m2, 0.75)",4115.46
Valeur médiane,"annee=2025, type_bien=Appartement, commune=Montpellier",MEDIAN(valeur_fonciere),157501
Surface médiane,"annee=2025, type_bien=Appartement, commune=Montpellier",MEDIAN(surface_bati),50
Évolution prix m² %,"annee=2025, type_bien=Appartement, commune=Montpellier",MEDIAN(prix_m2) / MEDIAN(prix_m2) (N-1) - 1,0.0274486
Évolution volume %,"annee=2025, type_bien=Appartement, commune=Montpellier",COUNT(*) / COUNT(*) (N-1) - 1,0.150463
Évolution depuis 2021 %,"annee=2025, type_bien=Appartement, commune=Montpellier",MEDIAN(prix_m2) / MEDIAN(prix_m2) (2021) - 1,0.078757
