"dim_date[annee]","dim_type_bien[type_bien]","[Nb ventes]","[Prix m2 median]","[Prix m2 moyen]","[Prix m2 1er quartile]","[Prix m2 3e quartile]","[Valeur mediane]","[Surface mediane]","[Volume d affaires]","[Evolution prix]","[Evolution volume]","[Evolution depuis 2021]","[Part des maisons]"
"2021","Appartement","13239","3159,55056179775","3283,00287861203","2338,06193806194","4025,61463046757","133500","45","2059020426,78","","","","0,466363013422548"
"2022","Appartement","13578","3412,82530120482","3535,8521143467","2553,24313158438","4300,69444444444","142222","45","2236796456,59","0,0801616351608424","0,0256061636075232","0,0801616351608424","0,444730707888603"
"2023","Appartement","11031","3520,40816326531","3644,0147330818","2599,56896551724","4463,88405797101","144000","44","1839834817,85","0,0315231084411228","-0,187582854617764","0,114211687519958","0,437222590684149"
"2024","Appartement","9588","3448,01852804941","3583,37935565688","2555,55555555556","4377,0411036036","140662,5","44","1570205150,67","-0,0205628529019073","-0,130813162904542","0,0913003164878994","0,440835131509885"
"2025","Appartement","10957","3483,33333333333","3601,98664583827","2623,1884057971","4390,32258064516","144400","44","1822880561,18","0,0102420578650149","0,142782644972883","0,102477477477478","0,436744975068113"
"2021","Maison","11570","2843,18834576084","2976,44306718426","2045,86538461538","3729,16666666667","254000","92","3338909498,69","","","","0,466363013422548"
"2022","Maison","10875","3047,95918367347","3190,45430523205","2117,08333333333","4024,58235294118","268000","90","3334702291,05","0,0720215522189872","-0,0600691443388073","0,0720215522189872","0,444730707888603"
"2023","Maison","8570","3130,92056074766","3295,31759818888","2186,85785758956","4154,68527013252","273000","90","2655836265,83","0,0272186640551423","-0,211954022988506","0,101200546708708","0,437222590684149"
"2024","Maison","7559","3030,21739130435","3179,73960223694","2169,73451327434","3977,41187384045","265000","90","2250154521,11","-0,0321640768232291","-0,117969661610268","0,0657814477265873","0,440835131509885"
"2025","Maison","8496","3056,48494936884","3195,9285787799","2194,30272108844","3965,97222222222","273170","91","2585196764,49","0,00866853914173781","0,123958195528509","0,0750202159227432","0,436744975068113"
