type_bien,tirage,rho
Appartement,1,-0.59345
Appartement,2,-0.619424
Appartement,3,-0.733484
Appartement,4,-0.630717
Appartement,5,-0.618295
Appartement,6,-0.555054
Appartement,7,-0.672501
Appartement,8,-0.623941
Appartement,9,-0.508752
Appartement,10,-0.555054
Appartement,11,-0.645398
Appartement,12,-0.653303
Appartement,13,-0.669113
Appartement,14,-0.613778
Appartement,15,-0.653303
Appartement,16,-0.543761
Appartement,17,-0.597967
Appartement,18,-0.501976
Appartement,19,-0.591191
Appartement,20,-0.604743
Appartement,21,-0.46358
Appartement,22,-0.557312
Appartement,23,-0.605872
Appartement,24,-0.687182
Appartement,25,-0.664596
Appartement,26,-0.649915
Appartement,27,-0.591191
Appartement,28,-0.611519
Appartement,29,-0.669113
Appartement,30,-0.681536
Appartement,31,-0.550536
Appartement,32,-0.607002
Appartement,33,-0.646527
Appartement,34,-0.584416
Appartement,35,-0.516657
Appartement,36,-0.546019
Appartement,37,-0.702993
Appartement,38,-0.555054
Appartement,39,-0.710898
Appartement,40,-0.665726
Appartement,41,-0.52908
Appartement,42,-0.574252
Appartement,43,-0.532468
Appartement,44,-0.622812
Appartement,45,-0.636364
Appartement,46,-0.70751
Appartement,47,-0.587804
Appartement,48,-0.567476
Appartement,49,-0.501976
Appartement,50,-0.635234
Appartement,51,-0.728967
Appartement,52,-0.561829
Appartement,53,-0.531338
Appartement,54,-0.486166
Appartement,55,-0.494071
Appartement,56,-0.662338
Appartement,57,-0.569331
Appartement,58,-0.651045
Appartement,59,-0.619424
Appartement,60,-0.587804
Appartement,61,-0.649915
Appartement,62,-0.646527
Appartement,63,-0.644269
Appartement,64,-0.466968
Appartement,65,-0.591191
Appartement,66,-0.682665
Appartement,67,-0.677019
Appartement,68,-0.619424
Appartement,69,-0.612648
Appartement,70,-0.652174
Appartement,71,-0.611519
Appartement,72,-0.562959
Appartement,73,-0.682665
Appartement,74,-0.675889
Appartement,75,-0.613778
Appartement,76,-0.616036
Appartement,77,-0.648786
Appartement,78,-0.60926
Appartement,79,-0.600226
Appartement,80,-0.567476
Appartement,81,-0.604743
Appartement,82,-0.591191
Appartement,83,-0.670243
Appartement,84,-0.570864
Appartement,85,-0.625071
Appartement,86,-0.516657
Appartement,87,-0.612648
Appartement,88,-0.556183
Appartement,89,-0.640881
Appartement,90,-0.660079
Appartement,91,-0.718803
Appartement,92,-0.588933
Appartement,93,-0.675889
Appartement,94,-0.531338
Appartement,95,-0.603614
Appartement,96,-0.556183
Appartement,97,-0.586674
Appartement,98,-0.653303
Appartement,99,-0.592321
Appartement,100,-0.550536
Appartement,101,-0.571993
Appartement,102,-0.622812
Appartement,103,-0.552795
Appartement,104,-0.595709
Appartement,105,-0.627329
Appartement,106,-0.622812
Appartement,107,-0.667984
Appartement,108,-0.605872
Appartement,109,-0.534726
Appartement,110,-0.578769
Appartement,111,-0.630717
Appartement,112,-0.599097
Appartement,113,-0.693958
Appartement,114,-0.639752
Appartement,115,-0.621683
Appartement,116,-0.584416
Appartement,117,-0.612648
Appartement,118,-0.620553
Appartement,119,-0.616036
Appartement,120,-0.645398
Appartement,121,-0.385658
Appartement,122,-0.731225
Appartement,123,-0.555054
Appartement,124,-0.613778
Appartement,125,-0.518916
Appartement,126,-0.611519
Appartement,127,-0.567476
Appartement,128,-0.597967
Appartement,129,-0.671372
Appartement,130,-0.601355
Appartement,131,-0.648786
Appartement,132,-0.591191
Appartement,133,-0.599097
Appartement,134,-0.669113
Appartement,135,-0.549407
Appartement,136,-0.656691
Appartement,137,-0.693958
Appartement,138,-0.588933
Appartement,139,-0.607002
Appartement,140,-0.631846
Appartement,141,-0.696217
Appartement,142,-0.601355
Appartement,143,-0.654433
Appartement,144,-0.64201
Appartement,145,-0.627329
Appartement,146,-0.569735
Appartement,147,-0.678148
Appartement,148,-0.700734
Appartement,149,-0.636364
Appartement,150,-0.587804
Appartement,151,-0.613778
Appartement,152,-0.628458
Appartement,153,-0.468097
Appartement,154,-0.551666
Appartement,155,-0.651045
Appartement,156,-0.561829
Appartement,157,-0.614907
Appartement,158,-0.627329
Appartement,159,-0.6262
Appartement,160,-0.705251
Appartement,161,-0.671372
Appartement,162,-0.582157
Appartement,163,-0.501976
Appartement,164,-0.616036
Appartement,165,-0.681536
Appartement,166,-0.60926
Appartement,167,-0.476002
Appartement,168,-0.664596
Appartement,169,-0.628458
Appartement,170,-0.533597
Appartement,171,-0.521174
Appartement,172,-0.471485
Appartement,173,-0.614907
Appartement,174,-0.39808
Appartement,175,-0.575381
Appartement,176,-0.587804
Appartement,177,-0.731225
Appartement,178,-0.466968
Appartement,179,-0.513269
Appartement,180,-0.677019
Appartement,181,-0.664596
Appartement,182,-0.52795
Appartement,183,-0.607002
Appartement,184,-0.635234
Appartement,185,-0.548278
Appartement,186,-0.617165
Appartement,187,-0.698475
Appartement,188,-0.643139
Appartement,189,-0.581028
Appartement,190,-0.579898
Appartement,191,-0.651045
Appartement,192,-0.619424
Appartement,193,-0.54489
Appartement,194,-0.679277
Appartement,195,-0.575381
Appartement,196,-0.601355
Appartement,197,-0.613778
Appartement,198,-0.51214
Appartement,199,-0.671372
Appartement,200,-0.654433
Maison,1,-0.323821
Maison,2,-0.357887
Maison,3,-0.228872
Maison,4,-0.184097
Maison,5,-0.00508266
Maison,6,-0.383725
Maison,7,-0.230309
Maison,8,-0.299465
Maison,9,-0.267139
Maison,10,-0.275998
Maison,11,-0.200618
Maison,12,-0.206691
Maison,13,-0.306081
Maison,14,-0.182595
Maison,15,-0.223844
Maison,16,-0.224671
Maison,17,-0.24289
Maison,18,-0.225934
Maison,19,-0.328523
Maison,20,-0.366093
Maison,21,-0.166879
Maison,22,-0.282158
Maison,23,-0.341126
Maison,24,-0.322406
Maison,25,-0.245872
Maison,26,-0.280809
Maison,27,-0.2669
Maison,28,-0.275628
Maison,29,-0.185055
Maison,30,-0.15051
Maison,31,-0.224279
Maison,32,-0.259673
Maison,33,-0.275889
Maison,34,-0.284553
Maison,35,-0.223735
Maison,36,-0.216682
Maison,37,-0.213113
Maison,38,-0.125609
Maison,39,-0.185294
Maison,40,-0.250531
Maison,41,-0.202012
Maison,42,-0.245481
Maison,43,-0.292258
Maison,44,-0.299986
Maison,45,-0.291192
Maison,46,-0.273234
Maison,47,-0.249094
Maison,48,-0.218707
Maison,49,-0.285968
Maison,50,-0.281114
Maison,51,-0.305907
Maison,52,-0.251271
Maison,53,-0.347482
Maison,54,-0.201598
Maison,55,-0.209891
Maison,56,-0.140932
Maison,57,-0.326477
Maison,58,-0.263092
Maison,59,-0.190671
Maison,60,-0.12304
Maison,61,-0.150031
Maison,62,-0.238733
Maison,63,-0.211023
Maison,64,-0.226435
Maison,65,-0.369881
Maison,66,-0.256517
Maison,67,-0.188886
Maison,68,-0.255907
Maison,69,-0.191933
Maison,70,-0.265637
Maison,71,-0.237753
Maison,72,-0.224018
Maison,73,-0.265898
Maison,74,-0.199443
Maison,75,-0.312176
Maison,76,-0.182769
Maison,77,-0.226587
Maison,78,-0.357691
Maison,79,-0.240322
Maison,80,-0.252076
Maison,81,-0.227588
Maison,82,-0.199836
Maison,83,-0.306385
Maison,84,-0.325454
Maison,85,-0.163984
Maison,86,-0.274583
Maison,87,-0.236404
Maison,88,-0.164245
Maison,89,-0.219338
Maison,90,-0.303403
Maison,91,-0.195851
Maison,92,-0.386097
Maison,93,-0.337056
Maison,94,-0.284304
Maison,95,-0.30619
Maison,96,-0.258085
Maison,97,-0.204048
Maison,98,-0.28218
Maison,99,-0.290125
Maison,100,-0.361152
Maison,101,-0.108283
Maison,102,-0.19596
Maison,103,-0.302946
Maison,104,-0.21862
Maison,105,-0.314222
Maison,106,-0.191868
Maison,107,-0.196765
Maison,108,-0.280613
Maison,109,-0.162025
Maison,110,-0.191454
Maison,111,-0.32467
Maison,112,-0.207279
Maison,113,-0.355211
Maison,114,-0.241976
Maison,115,-0.229177
Maison,116,-0.229133
Maison,117,-0.250008
Maison,118,-0.252773
Maison,119,-0.359737
Maison,120,-0.131072
Maison,121,-0.369946
Maison,122,-0.25225
Maison,123,-0.200837
Maison,124,-0.348462
Maison,125,-0.189212
Maison,126,-0.270644
Maison,127,-0.234967
